0;13;1;12
1;10;8;10
2;1;12;9
3;1;2;7
4;5;4;8
5;1;0;6
6;7;1;11
7;8;12;9
8;2;5;2
9;13;7;10
10;14;12;12
11;3;14;12
12;13;1;1
13;7;9;3
14;6;14;14
15;7;8;14
16;5;0;8
17;1;1;5
18;11;3;2
19;5;1;1
20;0;0;14
21;12;11;5
22;1;9;13
23;2;9;0
24;12;0;14
25;12;14;14
26;3;5;7
27;3;6;8
28;8;9;3
29;11;14;4
30;12;0;11
31;3;4;7
32;1;6;9
33;14;0;10
34;14;13;2
35;6;2;2
36;12;12;7
37;11;1;5
38;11;1;0
39;14;4;14
40;10;9;6
41;7;12;11
42;6;5;9
43;7;12;1
44;2;3;6
45;5;1;8
46;14;14;13
47;6;2;14
48;3;14;0
49;3;13;5
50;10;9;6
51;8;8;10
52;11;6;1
53;5;14;13
54;14;8;1
55;5;13;10
56;14;4;9
57;4;2;11
58;3;6;2
59;10;9;1
60;7;11;2
61;13;5;2
62;9;1;8
63;10;14;7
64;0;13;8
65;8;3;6
66;3;9;11
67;4;13;13
68;8;8;11
69;10;4;13
70;3;3;9
71;12;2;6
72;14;3;0
73;8;5;14
74;7;5;4
75;0;5;14
76;14;1;9
77;2;12;14
78;7;12;0
79;4;8;11
80;2;3;14
81;3;1;8
82;10;7;11
83;10;0;1
84;1;0;13
85;5;0;11
86;4;6;12
87;5;8;1
88;12;8;14
89;12;12;14
90;0;6;2
91;14;9;10
92;8;11;3
93;11;6;10
94;13;14;10
95;3;4;11
96;14;1;9
97;3;13;3
98;5;10;11
99;11;14;0
100;10;14;6
101;12;6;7
102;0;6;4
103;3;2;2
104;13;7;9
105;9;11;5
106;12;2;6
107;6;13;12
108;1;10;14
109;4;6;14
110;4;1;5
111;2;5;3
112;2;5;9
113;13;0;4
114;7;14;11
115;1;0;14
116;7;12;2
117;5;10;0
118;2;4;10
119;2;8;8
120;8;5;9
121;5;14;6
122;9;1;12
123;10;14;4
124;14;14;3
125;11;0;10
126;10;7;14
127;4;13;10
128;11;7;14
129;13;1;14
130;6;9;4
131;7;7;11
132;14;1;12
133;3;3;4
134;7;3;3
135;3;6;3
136;13;8;3
137;13;13;8
138;0;9;7
139;6;8;9
140;5;6;3
141;2;14;10
142;13;13;3
143;2;8;7
144;6;0;2
145;1;10;8
146;12;9;1
147;0;14;6
148;0;14;8
149;7;5;8
150;1;2;14
